"id"	"trans"	"b2b"	"distance"	"count"	"score"
"chr10:75431625-76560168<->chr11:65497689-65506516"	TRUE	TRUE	NA	816	190.247143024071
"chr10:65912524-67696195<->chr11:65497689-65506516"	TRUE	TRUE	NA	602	177.228838446604
"chr10:76869602-77638369<->chr11:65497689-65506516"	TRUE	TRUE	NA	611	167.562194920928
"chr1:56994779-58546734<->chr11:65497689-65506516"	TRUE	TRUE	NA	636	164.881386273274
"chr1:6785455-7769706<->chr11:65497689-65506516"	TRUE	TRUE	NA	567	161.045590221991
"chr10:53802772-55627942<->chr11:65497689-65506516"	TRUE	TRUE	NA	525	158.595548679168
"chr1:87620804-88685204<->chr11:65497689-65506516"	TRUE	TRUE	NA	689	155.685995524857
"chr10:50990889-52298423<->chr11:65497689-65506516"	TRUE	TRUE	NA	818	154.578182626021
"chr6:63635803-63779336<->chr6:63719981-65707226"	FALSE	TRUE	1006034	3938	147.648783365189
"chr1:48532855-50023954<->chr11:65497689-65506516"	TRUE	TRUE	NA	476	146.968248311592
"chr1:55329289-56070513<->chr11:65497689-65506516"	TRUE	TRUE	NA	456	142.51522528795
"chr1:71395944-72282539<->chr11:65497689-65506516"	TRUE	TRUE	NA	508	137.649107771249
"chr10:60026299-60733490<->chr11:65497689-65506516"	TRUE	TRUE	NA	433	132.966239264733
"chr1:82212414-82848205<->chr11:65497689-65506516"	TRUE	TRUE	NA	372	129.815687374513
"chr1:215622892-216423448<->chr11:65497689-65506516"	TRUE	TRUE	NA	382	128.095656533213
"chr1:33514000-34165842<->chr11:65497689-65506516"	TRUE	TRUE	NA	394	127.366434921102
"chr11:65497689-65506516<->chr16:5239803-7713340"	TRUE	TRUE	NA	730	125.964924760555
"chr1:97077744-97995000<->chr11:65497689-65506516"	TRUE	TRUE	NA	575	123.817144612041
"chr10:71396921-71815947<->chr11:65497689-65506516"	TRUE	TRUE	NA	383	123.3611667533
"chr1:192167787-192957713<->chr11:65497689-65506516"	TRUE	TRUE	NA	391	123.109485159049
"chr11:65497689-65506516<->chr9:8314247-10612723"	TRUE	TRUE	NA	720	120.991763095472
"chr11:65497689-65506516<->chr5:58969039-60522120"	TRUE	TRUE	NA	703	120.330264887618
